distance_group,angle_group,noise_type,noise_sigma_px,tre_mean,tre_median,re_mean,re_median,tre_mean_median_ratio,re_mean_median_ratio
Near,High,marker-only,0.5,0.3141300694451126,0.2850369265866381,0.7595657531995097,0.7443120439021242,1.1020679783734322,1.0204937021002864
Near,Medium,target-only,2.0,1.976641878465193,1.79437114816257,2.8891179351296246,2.537069462239274,1.1015791691085022,1.138761858171445
Near,Medium,marker-only,1.0,0.9363969515957384,0.8519610670511701,1.8309920515236717,1.5704766056024977,1.099107679693416,1.165883047854272
Mid,Medium,target-only,1.0,1.062440530099731,0.96902388251129,1.820084726660838,1.6165619011698897,1.0964028330719213,1.125898566175326
Far,Medium,target-only,0.5,0.8976080521207273,0.8194086641973846,1.2944852412233017,1.2043000281268272,1.0954339285635202,1.0748860009882661
Far,Medium,marker-only,2.0,11.267332896322596,10.289104832843652,16.34495041248325,14.645285624219767,1.0950741662536436,1.1160554209644535
Far,High,target-only,0.5,0.5121313613948452,0.46923412537029696,0.8605571212362666,0.7719185151574917,1.0914196851959472,1.1148289674858884
Far,High,marker-only,0.5,2.0594952058150127,1.8920146695847397,3.7550362442996272,3.1597141356982705,1.0885196816507938,1.1884101165594196
Mid,High,target-only,2.0,1.7130148343577298,1.5768865843591913,3.484808176741402,3.397952685875489,1.0863272294588375,1.0255611242696085
Far,Medium,marker-only,0.5,3.372652314575854,3.121506085967971,5.12221588923477,5.029773420360819,1.0804567480220058,1.0183790523246512
Far,Low,target-only,0.5,1.8882588005163559,1.7513640957783112,0.7716107792231177,0.7035620071855988,1.0781646175504176,1.0967203620185928
Mid,High,marker-only,0.5,0.8689212494120917,0.8060005641799353,2.4923574641986708,2.2506732799366604,1.0780653116492234,1.107383060178691
Far,High,target-only,2.0,1.9901830119484005,1.8462505495044002,3.2486063236591196,3.1462969279829975,1.0779593335707534,1.0325173999841488
Far,Low,marker-only,0.5,6.681673786118158,6.203933471520081,4.839993893269842,4.908287848378418,1.077006034444309,0.9860859922607965
Near,High,target-only,2.0,1.7108450015173389,1.6121565550190078,3.158440268331114,2.9054156979876478,1.0612151755306218,1.0870872180248479
Near,High,target-only,0.5,0.37599621108415676,0.3560271224714622,0.6972017093471617,0.6504772833262017,1.056088672329438,1.0718309881354129
Near,Low,marker-only,1.0,1.5091602622457088,1.4413954192942176,1.9737099515741479,1.6776204369237937,1.047013360833818,1.1764937456253723
Mid,Medium,marker-only,1.0,2.148126329051483,2.075057164426542,3.856732621290433,3.4196429137806215,1.0352130851513839,1.1278173536039124
Mid,High,target-only,1.0,0.9587100506055027,0.9390381640949736,1.8490737738947363,1.7666847235443657,1.0209489744535447,1.0466348348702985
Mid,High,marker-only,1.0,1.6899724467439605,1.6900811677416905,4.714923807869848,4.443673435452538,0.9999356711382831,1.0610419231650146
Near,High,target-only,1.0,0.9088816106138657,0.9413343303144047,1.8076672641297598,1.8708096988683551,0.9655247677095768,0.9662486062709692
Mid,High,target-only,0.5,0.4797502109778848,0.503215428304409,0.935132991832281,0.8893792847491878,0.9533694397932301,1.0514445387560338
Far,High,target-only,1.0,0.8621907959869475,0.9072319672022161,1.290212728785779,1.3688956481115162,0.9503531920792323,0.9425208784655824
