source_table,analysis_row_kind,ray_gap_regime,usable_for_ray_gap_distribution,timestamp,experiment_record_id,experiment_family,dataset,projection_mode,point_id,distance_group,distance_order,base_condition_id,angle_group,angle_order,shot2_angle_deg,shot3_angle_m3_m1_deg,shot3_angle_m3_m2_deg,testpoint_x,testpoint_y,testpoint_z,testpoint_marker_distance_mean_mm,noise_type,noise_sigma_px,repeat_index,success_flag,is_clean_baseline,tre_mm_raw,re_px_raw,ray_gap_mm_raw,marker_sort_rms,calibration_reproj_rms,markers_sorted,perspective_calibration_ready
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:50:47+08:00,20260321_105047_363582,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,7,1,1,0.07,0.36,0.0,0.0676368456666666,0.0613532506666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:51:22+08:00,20260321_105122_282924,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,8,1,1,0.17,0.33,0.0,0.0647901643333333,0.0617985163333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:59:00+08:00,20260322_095900_918821,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,1,1,1,0.12,0.04,0.0,0.0554956973333333,0.0538273,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:59:30+08:00,20260322_095930_136996,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,2,1,1,0.41,0.07,0.0,0.0500416546666666,0.0480720003333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T10:00:05+08:00,20260322_100005_298986,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,3,1,1,0.33,0.07,0.0,0.0591508433333333,0.0569593636666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T10:00:30+08:00,20260322_100030_208012,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,4,1,1,0.22,0.26,0.0,0.05848355,0.05605436,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T10:01:00+08:00,20260322_100100_301475,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,5,1,1,0.12,0.08,0.0,0.0522464766666666,0.0510373346666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T10:01:45+08:00,20260322_100145_655574,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-85.522,58.911,-96.64764404,149.6153261,baseline,0.0,6,1,1,0.2,0.06,0.0,0.0655750536666666,0.0597702753333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:40:18+08:00,20260322_094018_841920,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,1,1,1,0.09,0.01,0.0,0.0695305059999999,0.0688609843333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:40:56+08:00,20260322_094056_769752,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,2,1,1,0.15,0.13,0.0,0.0835347216666666,0.07973348,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:41:41+08:00,20260322_094141_088752,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,3,1,1,0.15,0.22,0.0,0.069548664,0.0669830056666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:42:17+08:00,20260322_094217_073572,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,4,1,1,0.18,0.19,0.0,0.080430907,0.0744985023333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:42:51+08:00,20260322_094251_155210,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,5,1,1,0.05,0.08,0.0,0.0632395759999999,0.0616396743333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:43:25+08:00,20260322_094325_726152,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-85.522,58.911,-96.64764404,153.1431742,baseline,0.0,6,1,1,0.21,0.52,0.0,0.0583621803333333,0.0562607793333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:32:42+08:00,20260322_093242_462224,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.5215683,58.91109085,-96.64764404,156.5237093,baseline,0.0,1,1,1,0.17,0.12,0.0,0.0561404063333333,0.0533846286666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:33:26+08:00,20260322_093326_741877,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.5215683,58.91109085,-96.64764404,156.5237093,baseline,0.0,2,1,1,0.08,0.1,0.0,0.0572228083333333,0.054951609,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:34:49+08:00,20260322_093449_422455,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.522,58.911,-96.64764404,156.5239826,baseline,0.0,3,1,1,0.11,0.01,0.0,0.0748820036666666,0.074570424,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:35:30+08:00,20260322_093530_676248,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.522,58.911,-96.64764404,156.5239826,baseline,0.0,4,1,1,0.11,0.0,0.0,0.0796387563333333,0.0743180003333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:36:01+08:00,20260322_093601_812903,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.522,58.911,-96.64764404,156.5239826,baseline,0.0,5,1,1,0.13,0.08,0.0,0.0719215086666666,0.0701643363333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-22T09:36:55+08:00,20260322_093655_392696,standard_reconstruction,CTChest,perspective,tp_-85.52_58.91_-96.65,Mid,2,CTChest__perspective__tp_-85.52_58.91_-96.65__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-85.522,58.911,-96.64764404,156.5239826,baseline,0.0,6,1,1,0.15,0.39,0.0,0.0666040216666666,0.0645668466666666,1,1
